batch_id	slot_id	sc_id	folder_id	state	g1	g2	g3
candidate-10-19	Official Derivative 010	SC-0001	ncl-alpha-20260512-1202e0	ok	ok	ok	ok
candidate-10-19	Official Derivative 011	SC-0002	ncl-alpha-20260513-4e76d3	ok	ok	ok	ok
candidate-10-19	Official Derivative 012	SC-0003	ncl-alpha-20260517-fe6641	ok	ok	ok	ok
candidate-10-19	Official Derivative 013	SC-0004	ncl-alpha-20260518-f38a1e	ok	ok	ok	ok
candidate-10-19	Official Derivative 014	SC-0005	ncl-alpha-20260211-051ce0	ok	ok	ok	ok
candidate-10-19	Official Derivative 015	SC-0006	ncl-alpha-20260214-40c1de	ok	ok	ok	ok
candidate-10-19	Official Derivative 016	SC-0007	ncl-alpha-20260215-198686	ok	ok	ok	ok
candidate-10-19	Official Derivative 017	SC-0008	ncl-alpha-20260227-4ecc69	ok	ok	ok	ok
