discovery_id	verification_status	parent_ncl_id	parent_diff_id	folder_id	canonical_url
DISC-011	verified	NCL-α-20260517-d76d87	DIFF-20260519-0007	ncl-alpha-20260517-d76d87	https://master.ricette.jp/derivatives/ncl-alpha-20260517-d76d87/
DISC-012	verified	NCL-α-20260512-1202e0	DIFF-20260516-0015	ncl-alpha-20260512-1202e0	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/
DISC-013	verified	NCL-α-20260513-4e76d3	DIFF-20260519-0006	ncl-alpha-20260513-4e76d3	https://master.ricette.jp/derivatives/ncl-alpha-20260513-4e76d3/
DISC-014	verified	NCL-α-20260517-fe6641	DIFF-20260517-0013	ncl-alpha-20260517-fe6641	https://master.ricette.jp/derivatives/ncl-alpha-20260517-fe6641/
DISC-015	verified	NCL-α-20260518-f38a1e	DIFF-20260518-0015	ncl-alpha-20260518-f38a1e	https://master.ricette.jp/derivatives/ncl-alpha-20260518-f38a1e/
DISC-016	verified	NCL-α-20260211-051ce0	DIFF-20260213-0030	ncl-alpha-20260211-051ce0	https://master.ricette.jp/derivatives/ncl-alpha-20260211-051ce0/
DISC-017	verified	NCL-α-20260214-40c1de	DIFF-20260215-0025	ncl-alpha-20260214-40c1de	https://master.ricette.jp/derivatives/ncl-alpha-20260214-40c1de/
DISC-018	verified	NCL-α-20260215-198686	DIFF-20260222-0022	ncl-alpha-20260215-198686	https://master.ricette.jp/derivatives/ncl-alpha-20260215-198686/
DISC-019	verified	NCL-α-20260227-4ecc69	DIFF-20260228-0025	ncl-alpha-20260227-4ecc69	https://master.ricette.jp/derivatives/ncl-alpha-20260227-4ecc69/
