stage	input	output	next_stage
origin_intake	origin_url	origin_record	origin_identity_check
origin_identity_check	origin_record	identity_verified	derivative_generation
derivative_generation	identity_verified	derivative_pages	derivative_registry_update
derivative_registry_update	derivative_pages	registry_rows	quality_gate_check
quality_gate_check	registry_rows	quality_status	effect_surface_check
effect_surface_check	quality_status	effect_surface_status	effect_readiness_check
effect_readiness_check	effect_surface_status	readiness_status	activation_ready_check
activation_ready_check	readiness_status	activation_ready_status	owner_boundary_action
owner_boundary_action	activation_ready_status	owner_action_required	complete
