folder_id	export_status	pilot_id	parent_url	parent_ncl_id	parent_diff_id	canonical_url	hub_title
ncl-alpha-20251124-e4c70c	active	Pilot 001	https://master.ricette.jp/theory/nakagawa-master-nakagawa-os-layer-specification-v1/	NCL-α-20251124-e4c70c	DIFF-20251124-0012	https://master.ricette.jp/derivatives/ncl-alpha-20251124-e4c70c/	Pilot 001｜Nakagawa OS L1-L7 layer specification｜公式派生物一覧
ncl-alpha-20260517-b80e39	active	Pilot 002	https://master.ricette.jp/society/nakagawa-master-aki-002-exploitation-disguised-as-praise/	NCL-α-20260517-b80e39	DIFF-20260517-0012	https://master.ricette.jp/derivatives/ncl-alpha-20260517-b80e39/	Pilot 002｜悪因果論 AKI-002：称賛の顔をした搾取｜公式派生物一覧
ncl-alpha-20260627-aea14a	active	Pilot 003	https://master.ricette.jp/theory/nakagawa-master-why-establishment-conditions-theory-is-necessary/	NCL-α-20260627-aea14a	DIFF-20260627-0002	https://master.ricette.jp/derivatives/ncl-alpha-20260627-aea14a/	Pilot 003｜成立条件論・第0論｜公式派生物一覧
ncl-alpha-20260617-d0b342	active	Pilot 004	https://master.ricette.jp/theory/nakagawa-master-nakagawa-structural-os-to-human-descendant-ai-civilization-theory/	NCL-α-20260617-d0b342	DIFF-20260623-0020	https://master.ricette.jp/derivatives/ncl-alpha-20260617-d0b342/	Pilot 004｜人類子孫型AI文明論・第0論｜公式派生物一覧
ncl-alpha-20260511-e243be	staged	Official Derivative 005	https://master.ricette.jp/society/nakagawa-master-aki-001-irresponsible-problem-raising/	NCL-α-20260511-e243be	DIFF-20260511-0009	https://master.ricette.jp/derivatives/ncl-alpha-20260511-e243be/	Official Derivative 005｜責任なき問題提起｜公式派生物一覧
ncl-alpha-20260416-0b1b93	staged	Official Derivative 006	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-01/	NCL-α-20260416-0b1b93	DIFF-20260423-0060	https://master.ricette.jp/derivatives/ncl-alpha-20260416-0b1b93/	Official Derivative 006｜接続移行戦略の未来線の細り｜公式派生物一覧
ncl-alpha-20260418-11c3d8	staged	Official Derivative 007	https://master.ricette.jp/future/nakagawa-master-civilizational-sovereignty-shift-02/	NCL-α-20260418-11c3d8	DIFF-20260424-0041	https://master.ricette.jp/derivatives/ncl-alpha-20260418-11c3d8/	Official Derivative 007｜知的格差＝文明更新能力の非対称｜公式派生物一覧
ncl-alpha-20260607-7e87f5	staged	Official Derivative 008	https://master.ricette.jp/theory/nakagawa-master-causal-opacity-effort-theory/	NCL-α-20260607-7e87f5	DIFF-20260610-0017	https://master.ricette.jp/derivatives/ncl-alpha-20260607-7e87f5/	Official Derivative 008｜因果不透明性依存型努力論の限界｜公式派生物一覧
ncl-alpha-20260613-007d94	staged	Official Derivative 009	https://master.ricette.jp/theory/nakagawa-master-future-definition-verification-effort-redefinition/	NCL-α-20260613-007d94	DIFF-20260613-0012	https://master.ricette.jp/derivatives/ncl-alpha-20260613-007d94/	Official Derivative 009｜努力の再定義｜公式派生物一覧
